epoch,loss_all_mean,loss_all_min,loss_all_max
0,0.8154914,0.75088507,0.9120845
1,0.79093635,0.75322664,0.8507962
2,0.78066623,0.7375146,0.8330839
3,0.77586645,0.73700476,0.8398277
4,0.7665045,0.7237668,0.8256529
-4,0.75251293,0.7310492,0.7661321
5,0.75247157,0.7101184,0.7989297
6,0.7377715,0.7092116,0.7973043
7,0.7228428,0.68051004,0.77219355
8,0.68068993,0.64165443,0.7580363
9,0.6215902,0.5550211,0.6947788
-9,0.8930669,0.85791814,0.9112838
10,0.6873075,0.63742006,0.86507773
11,0.59193796,0.54983634,0.6328477
12,0.55576867,0.452981,0.6625165
13,0.50809187,0.44703707,0.6878519
14,0.47877216,0.40726313,0.56814146
-14,0.4105455,0.39253798,0.4215327
15,0.507463,0.34826967,0.6630069
16,0.4166805,0.3467375,0.49836922
17,0.35639283,0.28582,0.5109076
18,0.33095905,0.27154562,0.39887878
19,0.28923056,0.24460854,0.38452765
-19,0.36046278,0.3521177,0.37537667
20,0.27233535,0.20428498,0.3636592
21,0.2646945,0.21047844,0.33842584
22,0.26861963,0.23659053,0.32355085
23,0.26178038,0.1731935,0.43776768
24,0.2772647,0.22152762,0.3287318
-24,0.24718468,0.24369255,0.24979691
25,0.24096994,0.19768558,0.2915079
26,0.20400472,0.14826751,0.2418235
27,0.21686979,0.1563654,0.30230477
28,0.23722415,0.16457208,0.3178035
29,0.19411893,0.14304969,0.2751208
-29,0.19760798,0.19122562,0.20766123
30,0.1913855,0.122796446,0.28179532
31,0.21190372,0.15971003,0.27185965
32,0.16683534,0.1256018,0.2277798
33,0.21687207,0.118285894,0.34548116
34,0.16521393,0.12139084,0.21848106
-34,0.17594267,0.16021673,0.2021719
35,0.20450571,0.14137207,0.34535462
36,0.19948289,0.15346232,0.2392459
37,0.1717308,0.12255552,0.297947
38,0.21389456,0.14064723,0.2888831
39,0.16875127,0.13747346,0.19656165
-39,0.16890939,0.14947559,0.18611754
40,0.1526333,0.10298675,0.20472884
41,0.1817983,0.13823369,0.22624469
42,0.1862081,0.13658704,0.23709048
43,0.15172896,0.10854749,0.20294064
44,0.17384967,0.11541738,0.25111103
-44,0.14478675,0.13759509,0.15523401
45,0.14261678,0.115527265,0.18345073
46,0.13439675,0.089435816,0.20205078
47,0.13712208,0.10019851,0.19224821
48,0.13743928,0.10504927,0.1808859
49,0.120822154,0.08261676,0.17675723
-49,0.11528852,0.10941142,0.12032716
50,0.12537488,0.0811287,0.19230618
51,0.12513061,0.08879844,0.1752419
52,0.11974206,0.08914227,0.15840514
53,0.11986677,0.07292986,0.22093542
54,0.12661871,0.0874419,0.16674227
-54,0.14349556,0.1326719,0.15475288
55,0.13551994,0.08978356,0.20984054
56,0.13680997,0.08005694,0.19913009
57,0.17444924,0.12405452,0.26020727
58,0.11247526,0.07005811,0.16822782
59,0.12323703,0.08321322,0.1693837
-59,0.124440886,0.096077934,0.17211126
60,0.10104158,0.062711746,0.15988673
61,0.10721892,0.07103945,0.14880969
62,0.13155644,0.08491784,0.19329654
63,0.110269845,0.08161588,0.1578292
64,0.12411225,0.08951142,0.16649713
-64,0.13992761,0.109045334,0.1956642
65,0.10129392,0.07481281,0.17334242
66,0.12416335,0.07547435,0.19591439
67,0.10798748,0.06627156,0.17475535
68,0.12819295,0.07857571,0.19375768
69,0.13015628,0.08354962,0.18030758
-69,0.17100918,0.16185357,0.17877246
70,0.117663875,0.09113924,0.15974946
71,0.09047475,0.057562154,0.1476677
72,0.13588557,0.072333835,0.22543788
73,0.09804842,0.07166385,0.1408718
74,0.11115668,0.06398339,0.15943925
-74,0.16476198,0.1566923,0.17458017
75,0.11132021,0.06279134,0.14779466
76,0.10830891,0.0666002,0.16123055
77,0.09082432,0.059958935,0.12664868
78,0.16967468,0.07288211,0.29398736
79,0.15186018,0.11468331,0.18565708
-79,0.11366862,0.10358954,0.12580134
80,0.11376486,0.09355059,0.1543034
81,0.13061678,0.069561474,0.22113761
82,0.12029841,0.08772371,0.16584757
83,0.0867349,0.05605948,0.16470042
84,0.11881088,0.07253946,0.17843635
-84,0.21256416,0.1770587,0.27117166
85,0.17697725,0.13086937,0.22730385
86,0.1629698,0.124373406,0.21337187
87,0.14222157,0.11103737,0.18609343
88,0.11711778,0.07373773,0.16747494
89,0.10986433,0.073944755,0.18092202
-89,0.19321501,0.13748461,0.29581192
